dataocorrencia,lat,lon
2019-11-30,-22.378380927,-47.543130575
2019-01-12,-23.616066741247803,-46.5306299748205
2019-01-12,-23.271432990999998,-46.058096615
2019-01-12,-22.2998478264897,-48.5573914267347
2019-01-12,-21.244184639,-48.342580533062495
2019-11-30,-23.6864699689041,-46.621090206691505
2019-11-30,-23.6864699689041,-46.621090206691505
2019-11-30,-23.6864699689041,-46.621090206691505
2019-11-30,-23.6864699689041,-46.621090206691505
2019-01-12,-21.188845337,-50.468719106
2019-11-29,-23.6169926657292,-46.4630904565919
2019-01-12,-23.555392053522397,-46.8058802355161
2019-01-12,-23.5413743999999,-46.367878713
2019-01-12,-23.718396038999902,-46.690237289666605
2019-11-30,-23.6435387287432,-46.45081121160871
2019-01-12,-23.655531570788398,-46.5946182445119
2019-01-12,-23.545789928,-46.377043621000006
2019-11-30,-23.5067153003919,-46.6616179725331
2019-01-12,-21.183445395,-47.77813463
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,-23.622621697923197,-46.6076824032409
2019-01-12,,
2019-01-12,,
2019-01-12,,
2019-01-12,,
2019-01-12,-23.5281171774193,-46.35548115932261
2019-11-30,-23.6552492,-46.665349
2019-11-30,-23.6552492,-46.665349
2019-01-12,-23.6816548057273,-46.583066940500004
2019-01-12,-23.6816548057273,-46.583066940500004
2019-01-12,-23.442897366,-46.591890673
2019-01-12,-23.442897366,-46.591890673
2019-01-12,-23.442897366,-46.591890673
2019-01-12,-23.442897366,-46.591890673
2019-11-30,-23.7158696499999,-46.692143939999895
2019-11-30,-23.653449125588605,-46.5978170394962
2019-11-30,-23.653449125588605,-46.5978170394962
2019-11-30,-23.653449125588605,-46.5978170394962
